Unnamed: 0,name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,seats,max_power (in bph),Mileage Unit,Mileage,Engine (CC)
206.0,MARUTI,2015.0,350000.0,100000.0,Petrol,Individual,Manual,First Owner,5.0,83.11,kmpl,20.4,1197.0
,Hyundai,2017.0,800000.0,39000.0,Diesel,Individual,Manual,First Owner,5.0,88.73,kmpl,22.54,
212.0,Hyundai,2013.0,530000.0,,Diesel,Individual,Manual,First Owner,5.0,126.3,kmpl,,1582.0
213.0,Maruti,2012.0,360000.0,158000.0,Diesel,Individual,Manual,First Owner,5.0,74.0,kmpl,23.4,
221.0,Maruti,2015.0,525000.0,20000.0,Petrol,Individual,Manual,First Owner,5.0,83.14,,20.85,1197.0
225.0,Maruti,2014.0,375000.0,80000.0,,Individual,Manual,First Owner,5.0,81.8,kmpl,20.4,1197.0
226.0,Hyundai,2015.0,500000.0,70000.0,Diesel,Individual,Manual,Fourth & Above Owner,5.0,88.73,kmpl,22.54,1396.0
234.0,Tata,2012.0,290000.0,60000.0,Diesel,Individual,Manual,First Owner,5.0,88.76,kmpl,21.02,1248.0
235.0,MARUTI,2005.0,110000.0,45000.0,Petrol,Individual,Manual,Second Owner,5.0,46.3,kmpl,19.7,796.0
242.0,Maruti,2016.0,520000.0,20000.0,,Individual,Manual,First Owner,5.0,,kmpl,20.4,1197.0
248.0,Maruti,2019.0,675000.0,16500.0,Petrol,Individual,Manual,First Owner,5.0,81.8,kmpl,21.01,1197.0
,Maruti,2005.0,90000.0,99361.0,Petrol,Individual,Manual,Second Owner,5.0,46.3,kmpl,19.7,796.0
,Tata,,645000.0,10000.0,Petrol,Individual,Automatic,First Owner,5.0,,kmpl,20.3,1199.0
264.0,Maruti,2017.0,,47000.0,Petrol,Individual,Manual,First Owner,5.0,67.04,kmpl,20.51,998.0
265.0,HYUNDAI,2018.0,1210000.0,25000.0,Diesel,Individual,Manual,First Owner,5.0,88.7,kmpl,21.38,1396.0
268.0,Maruti,2016.0,650000.0,50000.0,Petrol,Individual,Automatic,First Owner,5.0,83.1,kmpl,21.4,1197.0
271.0,Maruti,2014.0,400000.0,50000.0,Petrol,Individual,Manual,First Owner,5.0,81.8,kmpl,,1197.0
274.0,Maruti,,351000.0,36000.0,Petrol,Individual,Manual,First Owner,5.0,67.04,kmpl,23.1,998.0
276.0,Maruti,2011.0,185000.0,185000.0,Diesel,Individual,Manual,Third Owner,5.0,73.9,kmpl,21.1,1248.0
280.0,Maruti,2005.0,85000.0,80000.0,Petrol,Individual,Manual,,5.0,46.3,kmpl,19.7,796.0
283.0,Maruti,2013.0,480000.0,,Diesel,Individual,,Third Owner,7.0,88.76,kmpl,20.77,1248.0
286.0,Ford,2010.0,170000.0,90000.0,Diesel,Individual,Manual,Second Owner,5.0,68.0,kmpl,20.0,1399.0
289.0,Maruti,2018.0,610000.0,52000.0,Petrol,Dealer,Manual,First Owner,5.0,81.8,kmpl,22.0,1197.0
292.0,Renault,2018.0,390000.0,13000.0,Petrol,,Manual,First Owner,5.0,53.26,kmpl,20.71,799.0
NAN,TOYOTA,2013.0,400000.0,70000.0,Diesel,Dealer,Manual,Second Owner,5.0,67.06,kmpl,,1364.0
296.0,,2009.0,215000.0,60000.0,Petrol,Dealer,Manual,,,78.9,kmpl,20.36,1197.0
297.0,Renault,2014.0,570000.0,40000.0,Diesel,Dealer,Manual,First Owner,5.0,83.8,kmpl,20.45,1461.0
305.0,Hyundai,,140000.0,,Petrol,Individual,Manual,Fourth & Above Owner,5.0,78.9,kmpl,20.36,1197.0
310.0,,,225000.0,58343.0,Petrol,Trustmark Dealer,,First Owner,5.0,67.05,kmpl,21.79,998.0
314.0,Maruti,,650000.0,5621.0,Petrol,Trustmark Dealer,Automatic,,,81.8,kmpl,22.0,1197.0
316.0,MARUTI,2018.0,600000.0,69779.0,Petrol,Dealer,Automatic,First Owner,5.0,81.8,kmpl,22.0,1197.0
319.0,Hyundai,2010.0,150000.0,106000.0,,Individual,Manual,Third Owner,5.0,,kmpl,20.36,
322.0,Hyundai,2014.0,535000.0,70000.0,Diesel,Individual,Manual,Third Owner,5.0,126.32,kmpl,22.32,1582.0
324.0,Maruti,2012.0,300000.0,100000.0,Diesel,,Manual,Second Owner,5.0,88.8,kmpl,21.5,1248.0
327.0,Maruti,2016.0,240000.0,,Petrol,Individual,Manual,First Owner,5.0,47.3,kmpl,22.74,796.0
nan,Maruti,2020.0,409999.0,35000.0,CNG,Individual,Manual,,5.0,61.7,km/kg,,1196.0
334.0,Maruti,2010.0,150000.0,80000.0,Petrol,Individual,Manual,First Owner,5.0,,kmpl,20.92,998.0
335.0,Hyundai,2013.0,219000.0,50000.0,Petrol,Individual,,Second Owner,5.0,55.2,kmpl,21.1,814.0
339.0,Hyundai,2017.0,950000.0,45000.0,Diesel,Individual,Manual,First Owner,5.0,88.7,,21.38,1396.0
340.0,MARUTI,2010.0,160000.0,80000.0,Petrol,,Manual,Second Owner,5.0,46.3,kmpl,19.7,796.0
343.0,Toyota,2013.0,450000.0,67000.0,Diesel,Individual,Manual,First Owner,5.0,67.1,kmpl,23.59,1364.0
347.0,Maruti,,530000.0,120000.0,Diesel,Individual,,Second Owner,5.0,74.0,kmpl,23.4,1248.0
348.0,Volkswagen,2015.0,520000.0,110000.0,,Individual,Manual,,5.0,88.8,kmpl,20.14,1498.0
349.0,Mahindra,2011.0,229999.0,170000.0,Diesel,Individual,Manual,Second Owner,5.0,,kmpl,,1461.0
354.0,Maruti,2014.0,,50000.0,Petrol,Individual,Manual,,,67.04,kmpl,,998.0
355.0,Ford,2015.0,292000.0,70000.0,Diesel,Individual,Manual,First Owner,5.0,68.05,kmpl,20.0,1399.0
358.0,Maruti,2014.0,385000.0,,Petrol,Individual,Manual,First Owner,5.0,67.04,kmpl,23.1,998.0
360.0,,2019.0,675000.0,,Petrol,Individual,Manual,First Owner,5.0,81.8,kmpl,,1197.0
362.0,Ford,2018.0,950000.0,30000.0,Diesel,Individual,Manual,,5.0,,kmpl,23.0,1498.0
,Hyundai,2015.0,610000.0,50000.0,Diesel,Individual,Manual,Second Owner,5.0,88.73,kmpl,21.19,1396.0
364.0,Hyundai,2012.0,525000.0,120000.0,,Individual,Manual,First Owner,5.0,88.73,,22.54,1396.0
,Maruti,,434999.0,50000.0,Petrol,Individual,Manual,Second Owner,5.0,,kmpl,20.4,1197.0
371.0,Renault,2018.0,,18000.0,Diesel,Dealer,Manual,First Owner,5.0,108.45,kmpl,19.6,1461.0
382.0,Ford,2013.0,300000.0,60000.0,Diesel,Individual,Manual,Second Owner,5.0,90.0,kmpl,23.5,1498.0
384.0,Hyundai,2008.0,229999.0,50000.0,Petrol,Individual,Manual,First Owner,,68.05,kmpl,19.81,1086.0
393.0,Hyundai,2018.0,500000.0,60000.0,Petrol,Individual,Manual,,,81.86,kmpl,20.14,1197.0
395.0,Maruti,2014.0,250000.0,25000.0,Petrol,Individual,Manual,First Owner,5.0,47.3,kmpl,22.74,796.0
398.0,Volkswagen,2011.0,250000.0,70000.0,Diesel,Individual,Manual,Second Owner,5.0,103.6,kmpl,20.54,1598.0
400.0,Toyota,2013.0,409999.0,45000.0,Diesel,Individual,Manual,First Owner,,67.06,,23.59,1364.0
406.0,,2016.0,270000.0,50000.0,Petrol,Individual,Manual,First Owner,5.0,47.3,kmpl,22.74,796.0
415.0,,,165000.0,90000.0,Petrol,Individual,Manual,First Owner,5.0,67.1,kmpl,20.92,998.0
420.0,Hyundai,2013.0,180000.0,60000.0,Petrol,Individual,Manual,,5.0,55.2,kmpl,21.1,814.0
,Maruti,2009.0,125000.0,60000.0,Petrol,Individual,,Third Owner,5.0,46.3,kmpl,19.7,796.0
428.0,Volkswagen,,450000.0,90000.0,Diesel,Individual,Manual,First Owner,5.0,103.6,kmpl,20.54,
429.0,,2011.0,210000.0,46000.0,Petrol,Individual,Manual,First Owner,5.0,67.1,kmpl,20.92,998.0
434.0,Hyundai,2017.0,320000.0,15000.0,Petrol,Individual,,Second Owner,5.0,55.2,kmpl,21.1,814.0
,Maruti,2009.0,,70000.0,Petrol,Individual,Manual,Second Owner,5.0,46.3,kmpl,19.7,796.0
439.0,Ford,2013.0,,70000.0,Diesel,Individual,Manual,Second Owner,5.0,67.0,kmpl,19.68,1399.0
440.0,Maruti,2002.0,140000.0,50000.0,Petrol,Individual,Manual,,5.0,46.3,kmpl,19.7,796.0
443.0,Maruti,,236000.0,60000.0,Petrol,Individual,,First Owner,5.0,47.3,kmpl,22.74,796.0
444.0,Maruti,2015.0,390000.0,40000.0,Petrol,Individual,Manual,First Owner,5.0,67.04,kmpl,,998.0
448.0,Hyundai,2016.0,850000.0,58000.0,Diesel,Individual,,First Owner,5.0,126.2,kmpl,19.67,1582.0
456.0,Hyundai,,300000.0,10000.0,Petrol,Individual,Manual,First Owner,,,kmpl,21.1,814.0
458.0,,,466000.0,25000.0,Petrol,Individual,Automatic,Fourth & Above Owner,5.0,68.0,kmpl,20.3,1086.0
459.0,Ford,,484999.0,54000.0,Diesel,Dealer,Manual,First Owner,5.0,98.96,kmpl,23.0,1498.0
462.0,Hyundai,2011.0,220000.0,120000.0,Diesel,Individual,,Second Owner,5.0,90.0,kmpl,,1396.0
,Maruti,2013.0,630000.0,120000.0,Diesel,Individual,,Second Owner,7.0,88.8,kmpl,20.77,1248.0
466.0,Hyundai,2013.0,525000.0,75000.0,Diesel,Individual,Automatic,First Owner,5.0,126.3,,22.32,1582.0
471.0,Ford,2013.0,245000.0,,Diesel,,Manual,Second Owner,5.0,68.1,kmpl,20.0,1399.0
472.0,Hyundai,2012.0,210000.0,76000.0,,,Manual,Fourth & Above Owner,5.0,78.9,kmpl,20.36,1197.0
473.0,Maruti,2020.0,730000.0,1500.0,Petrol,Individual,Manual,First Owner,,81.8,kmpl,21.21,1197.0
475.0,Maruti,2015.0,400000.0,40000.0,Petrol,,Manual,First Owner,5.0,67.04,kmpl,20.51,998.0
476.0,Hyundai,2015.0,280000.0,60000.0,Petrol,Individual,,Second Owner,,,kmpl,21.1,814.0
479.0,Volkswagen,2017.0,700000.0,40906.0,Diesel,Dealer,Manual,First Owner,5.0,108.62,kmpl,21.66,1498.0
481.0,Hyundai,2012.0,270000.0,43755.0,Petrol,Dealer,Manual,Second Owner,5.0,55.2,kmpl,,
486.0,Hyundai,2011.0,400000.0,221889.0,Diesel,Dealer,Manual,,5.0,126.32,kmpl,22.32,1582.0
488.0,Maruti,2015.0,500000.0,150546.0,Petrol,Dealer,Manual,First Owner,5.0,81.8,kmpl,22.0,1197.0
495.0,Hyundai,2011.0,200000.0,80000.0,,Individual,Manual,First Owner,5.0,,kmpl,19.81,
497.0,Renault,,350000.0,,Petrol,,Manual,First Owner,5.0,67.0,kmpl,23.01,999.0
501.0,Maruti,2013.0,200000.0,24000.0,Petrol,Individual,,First Owner,5.0,47.3,kmpl,22.74,796.0
,,,300000.0,70000.0,Diesel,Individual,Manual,Second Owner,5.0,68.0,kmpl,,1399.0
507.0,Hyundai,2008.0,135000.0,80000.0,Petrol,Individual,Manual,Second Owner,5.0,68.05,kmpl,19.81,1086.0
515.0,Maruti,2011.0,300000.0,70000.0,Diesel,Individual,Manual,Second Owner,5.0,74.0,kmpl,22.9,1248.0
519.0,Maruti,2014.0,420000.0,80000.0,Diesel,Individual,Manual,First Owner,5.0,74.0,kmpl,23.4,
520.0,Hyundai,2015.0,235000.0,50000.0,Petrol,Individual,Manual,First Owner,5.0,55.2,kmpl,21.1,814.0
524.0,,2016.0,650000.0,125000.0,Diesel,Individual,Manual,First Owner,5.0,98.59,kmpl,22.77,1498.0
525.0,Maruti,2016.0,350000.0,80000.0,Petrol,Individual,Manual,First Owner,5.0,67.04,kmpl,20.51,998.0
527.0,HYUNDAI,2010.0,270000.0,90000.0,Diesel,Individual,Manual,Third Owner,5.0,,kmpl,23.0,1396.0
528.0,Tata,2017.0,450000.0,50000.0,Diesel,Individual,Manual,First Owner,,74.0,kmpl,22.95,1248.0
536.0,Hyundai,2008.0,275000.0,98000.0,Petrol,Individual,Manual,Third Owner,5.0,78.9,kmpl,20.36,
538.0,Maruti,2012.0,215000.0,90000.0,Petrol,Individual,Manual,Third Owner,,46.3,kmpl,,796.0
546.0,Maruti,2019.0,655000.0,25000.0,Petrol,Individual,,First Owner,5.0,81.8,kmpl,21.21,1197.0
,Ford,2019.0,800000.0,30000.0,Diesel,,,Third Owner,5.0,98.96,kmpl,23.0,1498.0
551.0,Volkswagen,2011.0,300000.0,72000.0,Diesel,Individual,Manual,Second Owner,5.0,103.6,kmpl,20.54,1598.0
557.0,Maruti,2015.0,320000.0,50000.0,Petrol,Individual,Manual,Second Owner,5.0,67.04,kmpl,20.51,998.0
558.0,Hyundai,2010.0,210000.0,20000.0,Petrol,Individual,Manual,First Owner,5.0,68.05,kmpl,19.81,1086.0
565.0,Renault,2016.0,300000.0,50000.0,Petrol,Individual,,,5.0,,,,999.0
570.0,,2015.0,290000.0,17000.0,Petrol,Individual,Manual,First Owner,5.0,55.2,kmpl,21.1,814.0
572.0,Maruti,2016.0,395000.0,50000.0,Petrol,Individual,Manual,First Owner,5.0,67.04,kmpl,23.1,998.0
573.0,Hyundai,2014.0,195000.0,65000.0,Petrol,Individual,Manual,Second Owner,5.0,55.2,kmpl,21.1,814.0
577.0,HYUNDAI,2015.0,715000.0,50000.0,Diesel,Individual,Manual,First Owner,5.0,88.73,kmpl,,1396.0
583.0,Hyundai,2012.0,335000.0,135000.0,Diesel,Individual,Manual,First Owner,5.0,88.76,kmpl,21.9,1396.0
584.0,Maruti,2014.0,300000.0,35000.0,Petrol,Individual,Manual,First Owner,5.0,67.04,kmpl,23.1,998.0
591.0,Tata,2013.0,280000.0,80000.0,Diesel,Individual,Manual,First Owner,5.0,88.76,kmpl,21.02,1248.0
,Hyundai,2018.0,500000.0,10000.0,Petrol,Individual,Manual,First Owner,5.0,81.86,kmpl,20.14,1197.0
599.0,Renault,2017.0,300000.0,35000.0,Petrol,Individual,Manual,First Owner,5.0,67.0,kmpl,23.01,999.0
600.0,Volkswagen,,350000.0,60000.0,Diesel,Individual,Manual,Second Owner,5.0,88.8,kmpl,20.14,1498.0
602.0,,2015.0,,30000.0,Petrol,Individual,Manual,First Owner,5.0,81.8,,20.4,1197.0
614.0,Hyundai,2011.0,180000.0,80000.0,Petrol,Individual,Manual,Second Owner,5.0,55.2,kmpl,21.1,814.0
615.0,Hyundai,2013.0,200000.0,80000.0,,Individual,Manual,Second Owner,5.0,55.2,kmpl,21.1,814.0
616.0,Maruti,2005.0,85000.0,150000.0,Petrol,Individual,Manual,Second Owner,5.0,46.3,kmpl,19.7,796.0
619.0,VOLKSWAGEN,2010.0,275000.0,80000.0,Diesel,Individual,Manual,Fourth & Above Owner,5.0,73.9,kmpl,22.07,1199.0
625.0,Hyundai,2012.0,321000.0,100000.0,Diesel,Individual,Manual,Second Owner,5.0,,kmpl,23.0,1396.0
631.0,Tata,2012.0,250000.0,,Diesel,Individual,Manual,First Owner,5.0,,kmpl,,1248.0
647.0,Maruti,2010.0,165000.0,30000.0,Petrol,Individual,Manual,Third Owner,5.0,46.3,kmpl,19.7,796.0
649.0,MARUTI,2013.0,430000.0,86000.0,Diesel,Individual,Manual,Second Owner,5.0,74.0,kmpl,22.9,1248.0
651.0,Renault,2018.0,400000.0,60000.0,Petrol,Individual,Manual,First Owner,,,kmpl,23.01,999.0
653.0,,2015.0,430000.0,5000.0,Petrol,Individual,Manual,First Owner,5.0,67.04,kmpl,20.51,998.0
654.0,Maruti,2017.0,573000.0,30000.0,Petrol,Individual,Manual,First Owner,5.0,81.8,kmpl,20.4,1197.0
655.0,,2015.0,210000.0,40000.0,Petrol,Individual,,First Owner,5.0,55.2,kmpl,,814.0
658.0,,2019.0,,,,,Manual,First Owner,5.0,84.0,kmpl,20.3,1199.0
NAN,MARUTI,2008.0,95000.0,120000.0,Petrol,Individual,Manual,First Owner,5.0,46.3,kmpl,19.7,796.0
668.0,Maruti,2009.0,101000.0,90000.0,Petrol,,Manual,Fourth & Above Owner,8.0,35.0,kmpl,,796.0
671.0,Hyundai,2012.0,244000.0,38000.0,Petrol,Individual,Manual,First Owner,5.0,55.2,kmpl,21.1,814.0
672.0,Maruti,2013.0,250000.0,90000.0,Petrol,,Manual,Second Owner,5.0,67.04,,20.51,998.0
673.0,Maruti,2016.0,660000.0,60000.0,Petrol,Individual,Manual,,5.0,83.1,kmpl,21.4,1197.0
675.0,Maruti,2012.0,280000.0,156060.0,Diesel,Individual,Manual,First Owner,5.0,73.94,kmpl,23.2,
676.0,Hyundai,2017.0,,60000.0,Diesel,Individual,Manual,First Owner,5.0,126.2,kmpl,19.67,1582.0
677.0,MARUTI,2017.0,525000.0,,Petrol,Individual,Manual,First Owner,5.0,83.14,kmpl,,1197.0
682.0,MARUTI,,241000.0,15000.0,Petrol,Individual,Manual,First Owner,5.0,47.3,kmpl,22.74,796.0
683.0,Maruti,2015.0,235000.0,20000.0,Petrol,Individual,,,5.0,,kmpl,22.74,796.0
684.0,Ford,2015.0,615000.0,,Diesel,Individual,Manual,First Owner,5.0,98.59,kmpl,22.77,1498.0
685.0,MAHINDRA,2014.0,350000.0,110000.0,Diesel,Individual,,Second Owner,5.0,64.1,kmpl,20.8,1461.0
686.0,,2014.0,350000.0,35000.0,Petrol,Individual,Manual,,5.0,67.04,kmpl,20.51,998.0
687.0,Maruti,2014.0,380000.0,35000.0,,Individual,,First Owner,5.0,67.04,kmpl,20.51,998.0
693.0,Hyundai,2015.0,360000.0,20000.0,Petrol,Individual,Manual,First Owner,5.0,68.05,kmpl,19.81,1086.0
697.0,Hyundai,2016.0,425000.0,15000.0,Petrol,Individual,Manual,First Owner,5.0,68.05,kmpl,,1086.0
700.0,Maruti,2009.0,,58000.0,Petrol,Individual,Manual,First Owner,,46.3,,19.7,796.0
703.0,Hyundai,,204999.0,,Petrol,Individual,Manual,Second Owner,5.0,68.05,kmpl,20.3,998.0
705.0,Maruti,2013.0,,60000.0,Diesel,Individual,Manual,First Owner,7.0,88.8,kmpl,20.77,1248.0
711.0,Hyundai,2011.0,300000.0,80000.0,Diesel,,Manual,,,126.32,kmpl,22.32,1582.0
713.0,Maruti,2015.0,750000.0,14000.0,Diesel,Individual,Manual,First Owner,7.0,,kmpl,20.77,1248.0
716.0,,2011.0,160000.0,57000.0,Petrol,Individual,Manual,First Owner,5.0,55.2,,21.1,814.0
,,2015.0,1050000.0,60000.0,Diesel,Individual,Manual,First Owner,5.0,87.2,kmpl,21.43,1364.0
722.0,Tata,,150000.0,120000.0,Diesel,,Manual,Second Owner,5.0,88.8,kmpl,21.12,1248.0
728.0,NAN,,350000.0,25000.0,Petrol,Individual,Manual,First Owner,5.0,,kmpl,23.1,998.0
729.0,RENAULT,2019.0,580000.0,12000.0,Petrol,Individual,Manual,First Owner,7.0,72.0,kmpl,20.0,999.0
